course_id,name,category,description,skills,prerequisites,difficulty,credits
101,Introduction to Artificial Intelligence,AI,"Overview of AI: search, knowledge representation, reasoning, and agents.","Python,Algorithms,Logic",,Intermediate,3
102,Machine Learning,AI,"Supervised and unsupervised learning methods, model evaluation, and regularization.","Python,Statistics,Algorithms",101,Advanced,3
103,Deep Learning,AI,"Neural networks, backpropagation, CNNs, RNNs, and modern architectures.","Python,Linear Algebra,Machine Learning",102,Advanced,4
104,Computer Vision,AI,"Image processing, feature detection, and visual recognition systems.","Python,Linear Algebra,Machine Learning",102,Advanced,3
105,Natural Language Processing,AI,"Text processing, language models, sequence labelling, and transformers.","Python,Machine Learning,Linguistics",102,Advanced,3
106,Statistics for Data Science,Data Science,Descriptive and inferential statistics for data analysis.,"Statistics,Python,Probability",,Beginner,3
107,Database Systems,Data Science,"Relational model, SQL, normalization, transactions, and indexing.","SQL,Databases,Data Modeling",,Beginner,3
108,Data Mining,Data Science,Mining and analyzing large datasets for patterns and insights.,"Python,SQL,Statistics","107,106",Intermediate,3
109,Big Data Analytics,Data Science,"Distributed data processing, MapReduce, and large-scale pipelines.","Python,SQL,Distributed Systems",108,Advanced,4
110,Data Visualization,Data Science,Principles and tools for effective visual communication of data.,"Python,Statistics,Design",106,Intermediate,3
111,Web Development Fundamentals,Web,"HTML, CSS, and modern web page structure and styling.","HTML,CSS,JavaScript",,Beginner,3
112,Frontend Development,Web,"Modern frontend frameworks, component design, and state management.","JavaScript,React,CSS",111,Intermediate,3
113,Backend Development,Web,"Server-side development, REST APIs, authentication, and databases.","Python,REST,Databases","111,107",Intermediate,3
114,Full Stack Development,Web,End-to-end web applications integrating frontend and backend systems.,"JavaScript,React,Python,REST","112,113",Advanced,4
115,Cloud Web Applications,Web,Deploying and scaling web applications on cloud platforms.,"Cloud,Docker,DevOps",113,Advanced,3
116,Introduction to Cybersecurity,Cybersecurity,"Core security principles, threats, vulnerabilities, and defense strategies.","Security,Linux,Networking",,Beginner,3
117,Network Fundamentals,Cybersecurity,"Computer networks, protocols, routing, and the OSI model.","Networking,Linux",,Beginner,3
118,Network Security,Cybersecurity,"Securing computer networks: firewalls, IDS/IPS, VPNs, and monitoring.","Networking,Linux,Security","116,117",Advanced,3
119,Ethical Hacking,Cybersecurity,Penetration testing methodologies and offensive security techniques.,"Linux,Security,Networking",118,Advanced,3
120,Cryptography,Cybersecurity,"Symmetric and asymmetric cryptography, hashing, and protocols.","Mathematics,Security,Python",116,Advanced,3
121,Programming Fundamentals,Software Engineering,"Introduction to programming with Python: variables, control flow, functions.","Python,Algorithms",,Beginner,3
122,Data Structures,Software Engineering,"Lists, trees, graphs, hash tables, and complexity analysis.","Python,Algorithms,Data Structures",121,Intermediate,3
123,Algorithms,Software Engineering,"Design and analysis of algorithms: sorting, searching, graphs, dynamic programming.","Algorithms,Python,Data Structures",122,Intermediate,3
124,Software Engineering Principles,Software Engineering,"Software lifecycle, design patterns, testing, and project management.","Software Design,Testing,Git",122,Intermediate,3
125,Distributed Systems,Software Engineering,"Consensus, replication, fault tolerance, and distributed algorithms.","Algorithms,Distributed Systems,Networking","123,117",Advanced,4
126,Calculus I,Mathematics,"Limits, derivatives, and applications of differentiation.","Mathematics,Calculus",,Beginner,4
127,Linear Algebra,Mathematics,"Vectors, matrices, eigenvalues, and linear transformations.","Linear Algebra,Mathematics",,Beginner,3
128,Discrete Mathematics,Mathematics,"Logic, sets, combinatorics, graph theory, and proofs.","Logic,Mathematics,Proofs",,Beginner,3
129,Probability Theory,Mathematics,"Probability spaces, random variables, distributions, and limit theorems.","Probability,Mathematics,Calculus",126,Intermediate,3
130,Numerical Methods,Mathematics,Numerical algorithms for solving mathematical problems on computers.,"Python,Mathematics,Linear Algebra","127,126",Intermediate,3
131,Mobile App Development,Mobile,Building mobile applications for Android and iOS platforms.,"Mobile,Dart,UI Design",121,Intermediate,3
132,iOS Development,Mobile,Native iOS development with Swift and the iOS SDK.,"Swift,Mobile,UI Design",131,Advanced,3
133,Android Development,Mobile,Native Android development with Kotlin and the Android SDK.,"Kotlin,Mobile,UI Design",131,Advanced,3
134,Operating Systems,Systems,"Processes, threads, memory management, file systems, and scheduling.","Linux,C,Systems",122,Intermediate,4
135,Computer Networks,Systems,Architecture and protocols of the Internet and modern computer networks.,"Networking,Linux,Systems",134,Intermediate,3
136,Compilers,Systems,"Lexing, parsing, semantic analysis, and code generation.","Algorithms,Data Structures,Compilers",123,Advanced,4
137,Theory of Computation,Theory,"Automata, formal languages, and computability.","Logic,Proofs,Theory",128,Intermediate,3
138,Database Theory,Theory,"Relational algebra, query optimization, and database internals.","Databases,Logic,Theory","107,128",Advanced,3
139,Algorithm Analysis,Theory,Advanced techniques for analyzing algorithm complexity and efficiency.,"Algorithms,Proofs,Theory",123,Advanced,3
140,Quantum Computing,Theory,"Quantum bits, gates, algorithms, and quantum information theory.","Linear Algebra,Physics,Theory","127,129",Advanced,4
