student_id,course_id,grade,status
1,108,77,completed
1,109,68,completed
1,101,94,completed
1,102,87,completed
1,105,65,completed
2,111,98,completed
2,112,72,completed
2,113,94,completed
2,114,,in_progress
2,115,,in_progress
2,128,60,completed
3,118,81,completed
3,119,73,completed
3,117,,in_progress
3,116,65,completed
3,134,82,completed
3,135,,dropped
4,107,89,completed
4,106,84,completed
4,108,78,completed
4,110,99,failed
4,102,72,completed
4,109,,in_progress
4,105,74,completed
5,121,,dropped
5,123,84,completed
5,122,,in_progress
5,106,,in_progress
5,101,83,completed
6,122,77,completed
6,134,,in_progress
6,135,,in_progress
6,124,70,completed
6,123,,in_progress
6,121,89,completed
6,127,95,completed
7,102,63,completed
7,104,62,completed
7,103,,dropped
7,105,64,completed
7,127,96,completed
7,130,91,completed
8,107,89,failed
8,106,68,completed
8,108,95,completed
8,111,97,completed
8,113,,in_progress
8,109,,in_progress
8,127,68,completed
8,126,65,completed
9,131,70,completed
9,133,,in_progress
9,132,64,completed
9,112,98,completed
9,114,,in_progress
10,134,67,completed
10,135,94,completed
10,118,81,completed
10,119,87,completed
10,117,60,completed
11,129,,in_progress
11,128,,in_progress
11,126,79,completed
11,127,92,completed
11,130,,in_progress
11,116,70,completed
11,120,,in_progress
12,123,91,completed
12,139,83,completed
12,122,79,failed
12,121,75,completed
12,102,,dropped
13,111,64,completed
13,112,,dropped
13,128,,in_progress
13,127,,in_progress
14,109,93,completed
14,106,73,completed
14,108,,in_progress
14,110,72,failed
14,107,85,failed
14,126,88,completed
14,130,,dropped
14,123,75,completed
15,116,61,completed
15,120,,in_progress
15,118,74,completed
15,119,63,completed
15,134,62,completed
15,135,64,failed
16,113,91,completed
16,115,68,completed
16,122,96,completed
16,124,,in_progress
16,123,90,completed
16,121,72,failed
17,102,87,completed
17,104,86,completed
17,103,63,completed
17,105,66,completed
17,127,81,completed
18,122,72,completed
18,123,,in_progress
18,121,71,completed
18,101,75,completed
18,136,64,failed
19,134,95,completed
19,135,94,completed
19,118,65,completed
19,119,,dropped
19,117,70,failed
19,116,90,completed
19,113,85,completed
19,115,,dropped
20,127,84,completed
20,126,89,completed
20,130,,in_progress
20,121,,in_progress
21,102,78,completed
21,104,63,completed
21,103,94,completed
21,105,80,completed
21,127,97,completed
21,126,93,completed
21,130,92,completed
21,101,71,completed
22,116,75,completed
22,120,96,completed
22,127,98,completed
22,126,65,completed
22,130,97,completed
23,110,80,completed
23,107,85,completed
23,106,79,completed
23,108,,in_progress
23,102,,dropped
23,127,99,completed
23,130,,dropped
24,123,92,completed
24,117,82,completed
24,125,,dropped
24,109,70,completed
24,121,94,completed
25,127,93,completed
25,126,95,completed
25,130,,in_progress
25,116,68,completed
25,120,,in_progress
25,128,95,completed
